,...1,Participants,Grupo,University,Genre,Edad,Semester,Program,Specialization,Credibility,Coordination,Visual,Aural,Reader/Writer,Kinesthetic,Instrumental,Stra_Privilege,Stra_Appropriation,Expansive,Trend,VARK_Cs_Trend,Dc_Trend,Col_Trend
1,1,1,G1,U1E,2,24,6,B.D.Social-Sciences,1.46666666666667,0.699481865284974,0.0523560209424082,1.3219696969697,2.07659574468085,2.46694214876033,1.43809523809524,-2.18518518518519,-3.00925925925926,-2.44155844155844,-2.02040816326531,Reader/Writer,RW/A/K,Expansive,Specialization
2,2,2,G1,U1E,2,18,6,B.D.Social-Sciences,1.24444444444444,-0.33678756476684,0.0523560209424082,0.943181818181818,1.22553191489362,-0.0123966942148761,0.485714285714285,-1.07407407407407,-0.0771604938271605,-0.883116883116883,0.020408163265306,Aural,RW/A/K,Expansive,Specialization
3,3,3,G1,U2C,1,21,8,B.D.Medicine,-0.533333333333333,-0.854922279792746,-1.2565445026178,1.3219696969697,2.07659574468085,1.22727272727273,2.39047619047619,0.407407407407407,-0.848765432098765,-0.883116883116883,-0.795918367346939,Kinesthetic,RW/A/K,Instrumental,Specialization
4,4,4,G2,U1E,1,28,6,B.D.Social-Sciences,-1.86666666666667,-0.854922279792746,-0.471204188481676,1.70075757575758,2.50212765957447,1.22727272727273,2.39047619047619,0.592592592592592,1.00308641975309,0.675324675324675,1.44897959183673,Aural,A/RW,Expansive,Coordination
5,5,5,G2,U2C,2,22,7,B.D.Architecture,0.133333333333334,0.958549222797927,1.09947643979058,2.07954545454545,1.65106382978723,2.8801652892562,2.39047619047619,0.0370370370370369,0.540123456790123,-0.363636363636364,0.63265306122449,Reader/Writer,A/RW,Expansive,Coordination
6,6,6,G2,U2C,1,20,7,B.D.Architecture,1.46666666666667,0.699481865284974,0.575916230366492,-1.32954545454545,-0.902127659574468,0.814049586776859,0.00952380952380932,-0.888888888888889,-0.694444444444444,0.415584415584416,-1,Reader/Writer,A/RW,Stra_Appropriation,Specialization
7,7,7,G3,U1E,1,21,6,B.D.Early-Childhood-Pedagogy,-1.64444444444444,-2.92746113989637,-2.30366492146597,2.07954545454545,1.22553191489362,2.46694214876033,-0.942857142857143,1.33333333333333,0.231481481481481,0.675324675324675,1.44897959183673,Reader/Writer,RW/A/K,Expansive,Specialization
8,8,8,G3,U1E,2,24,6,B.D.Early-Childhood-Pedagogy,0.133333333333334,-0.33678756476684,0.837696335078534,-1.70833333333333,0.8,-1.25206611570248,0.00952380952380932,1.7037037037037,1.31172839506173,1.71428571428571,-1,Aural,RW/A/K,Stra_Appropriation,Coordination
9,9,9,G3,U2C,1,22,8,B.D.Medicine,-0.533333333333333,-1.63212435233161,-0.471204188481676,0.185606060606061,-0.476595744680851,0.400826446280992,0.00952380952380932,1.51851851851852,1.31172839506173,1.71428571428571,0.836734693877551,Reader/Writer,RW/A/K,Stra_Appropriation,Coordination
10,10,10,G3,U2C,1,24,8,B.D.Medicine,0.8,0.181347150259067,-0.732984293193717,-1.32954545454545,-0.0510638297872341,-0.425619834710744,0.00952380952380932,-1.07407407407407,-2.08333333333333,-1.66233766233766,-1.40816326530612,Kinesthetic,RW/A/K,Instrumental,Specialization
11,11,11,G4,U1E,1,35,6,B.D.Early-Childhood-Pedagogy,-0.311111111111111,-1.63212435233161,-0.471204188481676,-0.193181818181818,-0.476595744680851,0.400826446280992,1.91428571428571,0.962962962962963,0.231481481481481,-0.363636363636364,0.428571428571428,Kinesthetic,K/A,Instrumental,Specialization
12,12,12,G4,U2C,1,21,8,B.D.Medicine,0.577777777777778,0.181347150259067,0.31413612565445,-0.193181818181818,0.8,-0.0123966942148761,0.485714285714285,1.14814814814815,1.15740740740741,0.675324675324675,0.63265306122449,Aural,K/A,Stra_Privilege,Specialization
