1;G 1;1;2;24;0;6;1;5;5;5;5;5;25;5;5;5;5;1;21;5;5;1;5;1;17;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;0;0;1;0;0;1;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;0;1;1;1;1;0;0;0;0;1;1;1;1;0;1;0;1;1;0;0;1;3;3;1;2;2;1;4;4;4;3;5;3;3;5;2;2;1;2;2;5;3;3;1;4;540;600;720;480;720;1560;600;900;9;10;12;8;12;26;10;15;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0
2;G 1;1;2;18;0;6;1;5;4;5;5;5;24;5;5;5;1;1;17;5;5;1;5;1;17;0;0;0;0;0;1;0;1;1;1;0;1;1;1;0;1;0;1;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;1;3;3;3;3;4;4;3;2;4;3;2;3;4;3;2;3;2;2;1;2;2;4;1;1;480;480;360;360;1200;1260;600;660;8;8;6;6;20;21;10;11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
3;G 1;2;1;21;0;8;4;3;5;3;3;2;16;3;3;3;3;3;15;2;3;3;2;2;12;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;1;1;0;1;1;1;0;1;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;1;4;4;3;2;5;3;4;5;5;5;5;4;5;5;3;5;3;5;5;5;3;4;1;1;540;600;540;600;1260;1980;960;1320;9;10;9;10;21;33;16;22;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0
4;G 2;1;1;28;0;6;1;1;5;2;1;1;10;5;3;1;5;1;15;3;3;3;1;5;15;0;1;0;1;1;1;1;0;1;0;0;1;1;1;1;0;0;1;1;0;1;1;0;1;0;1;0;1;1;1;1;1;1;0;1;0;0;0;1;1;1;0;0;1;1;1;0;1;1;0;1;1;0;1;0;1;0;1;1;0;1;0;1;1;3;5;1;1;4;4;5;4;4;3;5;5;4;5;2;3;2;5;3;1;4;5;1;2;600;660;540;600;1080;1800;720;1080;10;11;9;10;18;30;12;18;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
5;G 2;2;2;22;0;7;3;3;4;4;4;4;19;5;4;4;5;4;22;4;5;4;4;4;21;1;1;0;1;0;1;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;0;0;1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;1;3;3;1;1;2;3;1;2;5;4;4;2;4;5;3;4;3;5;1;1;1;2;1;4;660;540;780;600;780;1320;900;600;11;9;13;10;13;22;15;10;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0
6;G 2;2;1;20;0;7;3;5;5;5;5;5;25;5;5;5;5;1;21;5;5;2;5;2;19;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0;5;5;5;2;4;4;5;3;4;4;3;4;5;5;3;4;4;4;5;5;4;4;2;4;120;180;480;300;1500;1680;960;1320;2;3;8;5;25;28;16;22;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1
7;G 3;1;1;21;0;6;2;2;2;3;2;2;11;2;2;1;1;1;7;1;1;2;2;2;8;1;0;0;1;1;1;1;0;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;5;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;2;1;1;1;5;1;1;660;480;720;180;1620;2100;1200;600;11;8;12;3;27;35;20;10;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0
8;G 3;1;2;24;0;6;2;4;3;4;5;3;19;4;4;4;3;2;17;5;5;3;5;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;3;5;1;4;60;420;180;300;1560;2100;1200;1140;1;7;3;5;26;35;20;19;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0
9;G 3;2;1;22;0;8;4;1;5;3;2;5;16;4;1;1;5;1;12;2;2;5;1;5;15;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;2;2;1;2;360;240;420;300;720;780;420;480;6;4;7;5;12;13;7;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0
10;G 3;2;1;24;0;8;4;5;4;4;5;4;22;5;5;4;3;2;19;4;4;1;4;1;14;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;5;5;3;2;5;3;5;5;5;4;2;3;4;3;2;4;3;5;4;5;1;2;1;2;120;300;300;300;1380;1680;720;1020;2;5;5;5;23;28;12;17;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
