"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"22","CR2","~~","CR2","VAR_CR2",0.192138725151283,0.0609554128383504,3.15211916718244,0.00162090107345181,0.0726683113253457,0.31160913897722
"23","CR3","~~","CR3","VAR_CR3",0.135111727139259,0.0596503304127545,2.2650625102048,0.0235088438033206,0.0181992278643461,0.252024226414172
"24","CR4","~~","CR4","VAR_CR4",1.27327645646213,0.223358177649262,5.70060371132481,1.1938387389776e-08,0.835502472617079,1.71105044030719
"25","CR5","~~","CR5","VAR_CR5",2.10782948374555,0.370831483716318,5.68406291348772,1.31531854297151e-08,1.38101313132801,2.83464583616309
"26","CD1","~~","CD1","VAR_CD1",0.518454889351746,0.11055778985127,4.68944694036674,2.73944454876052e-06,0.301765603032909,0.735144175670583
"27","CD2","~~","CD2","VAR_CD2",0.972555623825988,0.18692102344396,5.20302963201764,1.96065592206196e-07,0.606197149922459,1.33891409772952
"28","CD3","~~","CD3","VAR_CD3",1.65826024516327,0.292625068412161,5.66684274235731,1.45452720978767e-08,1.08472565010186,2.23179484022467
"29","CD4","~~","CD4","VAR_CD4",0.425547579775463,0.0989046683767355,4.30260357533903,1.68802716349337e-05,0.231697991854184,0.619397167696742
"30","CD5","~~","CD5","VAR_CD5",1.56838252337878,0.277358762856319,5.65470694787909,1.56112398563835e-08,1.0247693373838,2.11199570937375
"31","SP","~~","SP","",1,0,NA,NA,1,1
"32","CR","~~","CR","",1,0,NA,NA,1,1
"33","CD","~~","CD","",1,0,NA,NA,1,1
"34","SP","~~","CR","COV_SP_CR",0.869530512626234,0.0363233967946767,23.9385792452556,0,0.79833796311251,0.940723062139958
"35","CR","~~","CD","COV_CR_CD",0.838634319269694,0.0497884607368885,16.8439495187757,0,0.741050729379706,0.936217909159682
"36","SP","~~","CD","COV_SP_CD",0.955107233436595,0.0342042946708677,27.9236055772281,0,0.888068047765099,1.02214641910809
"37","SP1","~1","","",3.55384615384615,0.1471885602693,24.1448530194462,0,3.26536187678202,3.84233043091029
"38","SP2","~1","","",4.16923076923077,0.112141672190103,37.1782468355125,0,3.94943713057207,4.38902440788947
"39","SP3","~1","","",3.55384615384615,0.154297234692642,23.0324682158132,0,3.25142913093445,3.85626317675786
"40","SP4","~1","","",3.70769230769231,0.149128103045583,24.8624654372423,0,3.41540659664019,3.99997801874443
"41","SP5","~1","","",3.46153846153846,0.156163190057909,22.1661613101963,0,3.15546423331408,3.76761268976285
"42","CR1","~1","","",3.89230769230769,0.175530950799762,22.1744807657759,0,3.54827335056809,4.2363420340473
"43","CR2","~1","","",3.73846153846154,0.166934179453374,22.3948238204012,0,3.41127655894418,4.0656465179789
"44","CR3","~1","","",3.69230769230769,0.170715763711411,21.6283933717417,0,3.35771094384008,4.02690444077531
"45","CR4","~1","","",3.95384615384615,0.140044155205914,28.2328537598203,0,3.67936465339722,4.22832765429508
"46","CR5","~1","","",3.01538461538462,0.186590741243168,16.1604192967695,0,2.64967348269937,3.38109574806986
"47","CD1","~1","","",3.44615384615385,0.152842547909819,22.5470845211712,0,3.14658795694526,3.74571973536243
"48","CD2","~1","","",3.47692307692308,0.170787971298751,20.3581262221394,0,3.14218480418487,3.81166134966129
"49","CD3","~1","","",2.86153846153846,0.1650848337728,17.3337453001691,0,2.53797813294999,3.18509879012693
"50","CD4","~1","","",3.56923076923077,0.149478432368934,23.8778980530208,0,3.27625842532215,3.86220311313939
"51","CD5","~1","","",3.46153846153846,0.16235831994836,21.3203638879698,0,3.14332200184925,3.77975492122768
"52","SP","~1","","",0,0,NA,NA,0,0
"53","CR","~1","","",0,0,NA,NA,0,0
"54","CD","~1","","",0,0,NA,NA,0,0
